"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"7677","Native 1",6,"spillover","fp",2,462,"Native","spillover fp",0,462,"Unambiguous","Consistent"
"7680","Native 1",1,"spillover","fp",1,284,"Native","spillover fp",0,284,"Ambiguous","Consistent"
"7681","Native 1",16,"spillover","fp",4,211,"Native","spillover fp",0,211,"Unambiguous","Inconsistent"
"7683","Native 1",13,"spillover","fp",1,190,"Native","spillover fp",0,190,"Ambiguous","Consistent"
"7684","Native 1",3,"spillover","fp",3,149,"Native","spillover fp",0,149,"Ambiguous","Inconsistent"
"7686","Native 1",10,"spillover","fp",2,138,"Native","spillover fp",0,138,"Unambiguous","Consistent"
"7688","Native 1",7,"spillover","fp",3,447,"Native","spillover fp",0,447,"Ambiguous","Inconsistent"
"7690","Native 1",20,"spillover","fp",4,326,"Native","spillover fp",0,326,"Unambiguous","Inconsistent"
"7691","Native 1",4,"spillover","fp",4,323,"Native","spillover fp",0,323,"Unambiguous","Inconsistent"
"7692","Native 1",8,"spillover","fp",4,116,"Native","spillover fp",0,116,"Unambiguous","Inconsistent"
"7694","Native 1",15,"spillover","fp",3,899,"Native","spillover fp",0,899,"Ambiguous","Inconsistent"
"7696","Native 1",22,"spillover","fp",2,164,"Native","spillover fp",0,164,"Unambiguous","Consistent"
"7698","Native 1",19,"spillover","fp",3,263,"Native","spillover fp",0,263,"Ambiguous","Inconsistent"
"7701","Native 1",12,"spillover","fp",4,396,"Native","spillover fp",0,396,"Unambiguous","Inconsistent"
"7704","Native 1",23,"spillover","fp",3,706,"Native","spillover fp",0,706,"Ambiguous","Inconsistent"
"7706","Native 1",17,"spillover","fp",1,367,"Native","spillover fp",0,367,"Ambiguous","Consistent"
"7707","Native 1",21,"spillover","fp",1,252,"Native","spillover fp",0,252,"Ambiguous","Consistent"
"7711","Native 1",24,"spillover","fp",4,229,"Native","spillover fp",0,229,"Unambiguous","Inconsistent"
"7713","Native 1",14,"spillover","fp",2,377,"Native","spillover fp",0,377,"Unambiguous","Consistent"
"7714","Native 1",11,"spillover","fp",3,822,"Native","spillover fp",0,822,"Ambiguous","Inconsistent"
"7715","Native 1",9,"spillover","fp",1,0,"Native","spillover fp",1,NA,"Ambiguous","Consistent"
"7719","Native 1",5,"spillover","fp",1,854,"Native","spillover fp",0,854,"Ambiguous","Consistent"
"7720","Native 1",2,"spillover","fp",2,187,"Native","spillover fp",0,187,"Unambiguous","Consistent"
"7723","Native 1",18,"spillover","fp",2,481,"Native","spillover fp",0,481,"Unambiguous","Consistent"
"7728","Native 2",20,"spillover","fp",1,811,"Native","spillover fp",0,811,"Ambiguous","Consistent"
"7729","Native 2",5,"spillover","fp",2,206,"Native","spillover fp",0,206,"Unambiguous","Consistent"
"7730","Native 2",12,"spillover","fp",1,179,"Native","spillover fp",0,179,"Ambiguous","Consistent"
"7731","Native 2",2,"spillover","fp",3,181,"Native","spillover fp",0,181,"Ambiguous","Inconsistent"
"7732","Native 2",9,"spillover","fp",2,791,"Native","spillover fp",0,791,"Unambiguous","Consistent"
"7736","Native 2",16,"spillover","fp",1,260,"Native","spillover fp",0,260,"Ambiguous","Consistent"
"7737","Native 2",1,"spillover","fp",2,892,"Native","spillover fp",0,892,"Unambiguous","Consistent"
"7740","Native 2",13,"spillover","fp",2,225,"Native","spillover fp",0,225,"Unambiguous","Consistent"
"7741","Native 2",10,"spillover","fp",3,215,"Native","spillover fp",0,215,"Ambiguous","Inconsistent"
"7746","Native 2",7,"spillover","fp",4,445,"Native","spillover fp",0,445,"Unambiguous","Inconsistent"
"7749","Native 2",24,"spillover","fp",1,506,"Native","spillover fp",0,506,"Ambiguous","Consistent"
"7752","Native 2",23,"spillover","fp",4,515,"Native","spillover fp",0,515,"Unambiguous","Inconsistent"
"7753","Native 2",4,"spillover","fp",1,203,"Native","spillover fp",0,203,"Ambiguous","Consistent"
"7756","Native 2",19,"spillover","fp",4,186,"Native","spillover fp",0,186,"Unambiguous","Inconsistent"
"7757","Native 2",22,"spillover","fp",3,399,"Native","spillover fp",0,399,"Ambiguous","Inconsistent"
"7760","Native 2",8,"spillover","fp",1,218,"Native","spillover fp",0,218,"Ambiguous","Consistent"
"7761","Native 2",3,"spillover","fp",4,702,"Native","spillover fp",0,702,"Unambiguous","Inconsistent"
"7762","Native 2",17,"spillover","fp",2,181,"Native","spillover fp",0,181,"Unambiguous","Consistent"
"7765","Native 2",21,"spillover","fp",2,463,"Native","spillover fp",0,463,"Unambiguous","Consistent"
"7766","Native 2",14,"spillover","fp",3,624,"Native","spillover fp",0,624,"Ambiguous","Inconsistent"
"7767","Native 2",18,"spillover","fp",3,382,"Native","spillover fp",0,382,"Ambiguous","Inconsistent"
"7769","Native 2",6,"spillover","fp",3,125,"Native","spillover fp",0,125,"Ambiguous","Inconsistent"
"7771","Native 2",11,"spillover","fp",4,0,"Native","spillover fp",1,NA,"Unambiguous","Inconsistent"
"7772","Native 2",15,"spillover","fp",4,420,"Native","spillover fp",0,420,"Unambiguous","Inconsistent"
"7775","Native 3",18,"spillover","fp",4,716,"Native","spillover fp",0,716,"Unambiguous","Inconsistent"
"7778","Native 3",4,"spillover","fp",2,753,"Native","spillover fp",0,753,"Unambiguous","Consistent"
"7782","Native 3",15,"spillover","fp",1,425,"Native","spillover fp",0,425,"Ambiguous","Consistent"
"7783","Native 3",10,"spillover","fp",4,219,"Native","spillover fp",0,219,"Unambiguous","Inconsistent"
"7784","Native 3",23,"spillover","fp",1,874,"Native","spillover fp",0,874,"Ambiguous","Consistent"
