"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"17273","Native 1",45,"spillover","rp",1,524,"Native","spillover rp",0,524,"Ambiguous","Consistent"
"17274","Native 1",29,"spillover","rp",1,335,"Native","spillover rp",0,335,"Ambiguous","Consistent"
"17277","Native 1",34,"spillover","rp",2,547,"Native","spillover rp",0,547,"Unambiguous","Consistent"
"17280","Native 1",36,"spillover","rp",4,383,"Native","spillover rp",0,383,"Unambiguous","Inconsistent"
"17282","Native 1",25,"spillover","rp",1,892,"Native","spillover rp",0,892,"Ambiguous","Consistent"
"17284","Native 1",42,"spillover","rp",2,328,"Native","spillover rp",0,328,"Unambiguous","Consistent"
"17288","Native 1",41,"spillover","rp",1,257,"Native","spillover rp",0,257,"Ambiguous","Consistent"
"17290","Native 1",46,"spillover","rp",2,312,"Native","spillover rp",0,312,"Unambiguous","Consistent"
"17292","Native 1",47,"spillover","rp",3,0,"Native","spillover rp",1,NA,"Ambiguous","Inconsistent"
"17294","Native 1",39,"spillover","rp",3,787,"Native","spillover rp",0,787,"Ambiguous","Inconsistent"
"17295","Native 1",35,"spillover","rp",3,715,"Native","spillover rp",0,715,"Ambiguous","Inconsistent"
"17297","Native 1",48,"spillover","rp",4,459,"Native","spillover rp",0,459,"Unambiguous","Inconsistent"
"17298","Native 1",27,"spillover","rp",3,312,"Native","spillover rp",0,312,"Ambiguous","Inconsistent"
"17300","Native 1",31,"spillover","rp",3,310,"Native","spillover rp",0,310,"Ambiguous","Inconsistent"
"17303","Native 1",40,"spillover","rp",4,1448,"Native","spillover rp",0,1448,"Unambiguous","Inconsistent"
"17304","Native 1",38,"spillover","rp",2,560,"Native","spillover rp",0,560,"Unambiguous","Consistent"
"17305","Native 1",30,"spillover","rp",2,772,"Native","spillover rp",0,772,"Unambiguous","Consistent"
"17307","Native 1",32,"spillover","rp",4,606,"Native","spillover rp",0,606,"Unambiguous","Inconsistent"
"17311","Native 1",44,"spillover","rp",4,261,"Native","spillover rp",0,261,"Unambiguous","Inconsistent"
"17312","Native 1",37,"spillover","rp",1,177,"Native","spillover rp",0,177,"Ambiguous","Consistent"
"17313","Native 1",28,"spillover","rp",4,484,"Native","spillover rp",0,484,"Unambiguous","Inconsistent"
"17316","Native 1",26,"spillover","rp",2,867,"Native","spillover rp",0,867,"Unambiguous","Consistent"
"17317","Native 1",33,"spillover","rp",1,1399,"Native","spillover rp",0,1399,"Ambiguous","Consistent"
"17319","Native 1",43,"spillover","rp",3,0,"Native","spillover rp",1,NA,"Ambiguous","Inconsistent"
"17320","Native 2",45,"spillover","rp",2,1600,"Native","spillover rp",0,1600,"Unambiguous","Consistent"
"17321","Native 2",39,"spillover","rp",4,170,"Native","spillover rp",0,170,"Unambiguous","Inconsistent"
"17322","Native 2",48,"spillover","rp",1,209,"Native","spillover rp",0,209,"Ambiguous","Consistent"
"17328","Native 2",32,"spillover","rp",1,1385,"Native","spillover rp",0,1385,"Ambiguous","Consistent"
"17329","Native 2",26,"spillover","rp",3,449,"Native","spillover rp",0,449,"Ambiguous","Inconsistent"
"17330","Native 2",42,"spillover","rp",3,0,"Native","spillover rp",1,NA,"Ambiguous","Inconsistent"
"17333","Native 2",37,"spillover","rp",2,168,"Native","spillover rp",0,168,"Unambiguous","Consistent"
"17334","Native 2",31,"spillover","rp",4,0,"Native","spillover rp",1,NA,"Unambiguous","Inconsistent"
"17337","Native 2",25,"spillover","rp",2,0,"Native","spillover rp",1,NA,"Unambiguous","Consistent"
"17338","Native 2",38,"spillover","rp",3,195,"Native","spillover rp",0,195,"Ambiguous","Inconsistent"
"17339","Native 2",35,"spillover","rp",4,184,"Native","spillover rp",0,184,"Unambiguous","Inconsistent"
"17340","Native 2",41,"spillover","rp",2,198,"Native","spillover rp",0,198,"Unambiguous","Consistent"
"17342","Native 2",34,"spillover","rp",3,1113,"Native","spillover rp",0,1113,"Ambiguous","Inconsistent"
"17343","Native 2",43,"spillover","rp",4,0,"Native","spillover rp",1,NA,"Unambiguous","Inconsistent"
"17345","Native 2",33,"spillover","rp",2,248,"Native","spillover rp",0,248,"Unambiguous","Consistent"
"17346","Native 2",40,"spillover","rp",1,337,"Native","spillover rp",0,337,"Ambiguous","Consistent"
"17349","Native 2",30,"spillover","rp",3,200,"Native","spillover rp",0,200,"Ambiguous","Inconsistent"
"17350","Native 2",27,"spillover","rp",4,597,"Native","spillover rp",0,597,"Unambiguous","Inconsistent"
"17353","Native 2",36,"spillover","rp",1,174,"Native","spillover rp",0,174,"Ambiguous","Consistent"
"17354","Native 2",28,"spillover","rp",1,182,"Native","spillover rp",0,182,"Ambiguous","Consistent"
"17358","Native 2",44,"spillover","rp",1,178,"Native","spillover rp",0,178,"Ambiguous","Consistent"
"17359","Native 2",29,"spillover","rp",2,231,"Native","spillover rp",0,231,"Unambiguous","Consistent"
"17363","Native 2",47,"spillover","rp",4,0,"Native","spillover rp",1,NA,"Unambiguous","Inconsistent"
"17365","Native 2",46,"spillover","rp",3,529,"Native","spillover rp",0,529,"Ambiguous","Inconsistent"
"17368","Native 3",46,"spillover","rp",4,449,"Native","spillover rp",0,449,"Unambiguous","Inconsistent"
"17369","Native 3",43,"spillover","rp",1,248,"Native","spillover rp",0,248,"Ambiguous","Consistent"
