"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"2","Native 1",45,"disamb","fp",1,210,"Native","disamb fp",0,210,"Ambiguous","Consistent"
"3","Native 1",29,"disamb","fp",1,203,"Native","disamb fp",0,203,"Ambiguous","Consistent"
"6","Native 1",34,"disamb","fp",2,0,"Native","disamb fp",1,NA,"Unambiguous","Consistent"
"9","Native 1",36,"disamb","fp",4,357,"Native","disamb fp",0,357,"Unambiguous","Inconsistent"
"11","Native 1",25,"disamb","fp",1,448,"Native","disamb fp",0,448,"Ambiguous","Consistent"
"13","Native 1",42,"disamb","fp",2,181,"Native","disamb fp",0,181,"Unambiguous","Consistent"
"17","Native 1",41,"disamb","fp",1,227,"Native","disamb fp",0,227,"Ambiguous","Consistent"
"19","Native 1",46,"disamb","fp",2,388,"Native","disamb fp",0,388,"Unambiguous","Consistent"
"21","Native 1",47,"disamb","fp",3,197,"Native","disamb fp",0,197,"Ambiguous","Inconsistent"
"23","Native 1",39,"disamb","fp",3,206,"Native","disamb fp",0,206,"Ambiguous","Inconsistent"
"24","Native 1",35,"disamb","fp",3,297,"Native","disamb fp",0,297,"Ambiguous","Inconsistent"
"26","Native 1",48,"disamb","fp",4,233,"Native","disamb fp",0,233,"Unambiguous","Inconsistent"
"27","Native 1",27,"disamb","fp",3,291,"Native","disamb fp",0,291,"Ambiguous","Inconsistent"
"29","Native 1",31,"disamb","fp",3,206,"Native","disamb fp",0,206,"Ambiguous","Inconsistent"
"32","Native 1",40,"disamb","fp",4,0,"Native","disamb fp",1,NA,"Unambiguous","Inconsistent"
"33","Native 1",38,"disamb","fp",2,617,"Native","disamb fp",0,617,"Unambiguous","Consistent"
"34","Native 1",30,"disamb","fp",2,456,"Native","disamb fp",0,456,"Unambiguous","Consistent"
"36","Native 1",32,"disamb","fp",4,515,"Native","disamb fp",0,515,"Unambiguous","Inconsistent"
"40","Native 1",44,"disamb","fp",4,180,"Native","disamb fp",0,180,"Unambiguous","Inconsistent"
"41","Native 1",37,"disamb","fp",1,361,"Native","disamb fp",0,361,"Ambiguous","Consistent"
"42","Native 1",28,"disamb","fp",4,299,"Native","disamb fp",0,299,"Unambiguous","Inconsistent"
"45","Native 1",26,"disamb","fp",2,614,"Native","disamb fp",0,614,"Unambiguous","Consistent"
"46","Native 1",33,"disamb","fp",1,480,"Native","disamb fp",0,480,"Ambiguous","Consistent"
"48","Native 1",43,"disamb","fp",3,160,"Native","disamb fp",0,160,"Ambiguous","Inconsistent"
"49","Native 2",45,"disamb","fp",2,775,"Native","disamb fp",0,775,"Unambiguous","Consistent"
"50","Native 2",39,"disamb","fp",4,158,"Native","disamb fp",0,158,"Unambiguous","Inconsistent"
"51","Native 2",48,"disamb","fp",1,483,"Native","disamb fp",0,483,"Ambiguous","Consistent"
"57","Native 2",32,"disamb","fp",1,231,"Native","disamb fp",0,231,"Ambiguous","Consistent"
"58","Native 2",26,"disamb","fp",3,324,"Native","disamb fp",0,324,"Ambiguous","Inconsistent"
"59","Native 2",42,"disamb","fp",3,1233,"Native","disamb fp",0,1233,"Ambiguous","Inconsistent"
"62","Native 2",37,"disamb","fp",2,142,"Native","disamb fp",0,142,"Unambiguous","Consistent"
"63","Native 2",31,"disamb","fp",4,522,"Native","disamb fp",0,522,"Unambiguous","Inconsistent"
"66","Native 2",25,"disamb","fp",2,207,"Native","disamb fp",0,207,"Unambiguous","Consistent"
"67","Native 2",38,"disamb","fp",3,924,"Native","disamb fp",0,924,"Ambiguous","Inconsistent"
"68","Native 2",35,"disamb","fp",4,193,"Native","disamb fp",0,193,"Unambiguous","Inconsistent"
"69","Native 2",41,"disamb","fp",2,296,"Native","disamb fp",0,296,"Unambiguous","Consistent"
"71","Native 2",34,"disamb","fp",3,240,"Native","disamb fp",0,240,"Ambiguous","Inconsistent"
"72","Native 2",43,"disamb","fp",4,561,"Native","disamb fp",0,561,"Unambiguous","Inconsistent"
"74","Native 2",33,"disamb","fp",2,334,"Native","disamb fp",0,334,"Unambiguous","Consistent"
"75","Native 2",40,"disamb","fp",1,250,"Native","disamb fp",0,250,"Ambiguous","Consistent"
"78","Native 2",30,"disamb","fp",3,198,"Native","disamb fp",0,198,"Ambiguous","Inconsistent"
"79","Native 2",27,"disamb","fp",4,221,"Native","disamb fp",0,221,"Unambiguous","Inconsistent"
"82","Native 2",36,"disamb","fp",1,163,"Native","disamb fp",0,163,"Ambiguous","Consistent"
"83","Native 2",28,"disamb","fp",1,254,"Native","disamb fp",0,254,"Ambiguous","Consistent"
"87","Native 2",44,"disamb","fp",1,259,"Native","disamb fp",0,259,"Ambiguous","Consistent"
"88","Native 2",29,"disamb","fp",2,524,"Native","disamb fp",0,524,"Unambiguous","Consistent"
"92","Native 2",47,"disamb","fp",4,258,"Native","disamb fp",0,258,"Unambiguous","Inconsistent"
"94","Native 2",46,"disamb","fp",3,329,"Native","disamb fp",0,329,"Ambiguous","Inconsistent"
"97","Native 3",46,"disamb","fp",4,335,"Native","disamb fp",0,335,"Unambiguous","Inconsistent"
"98","Native 3",43,"disamb","fp",1,197,"Native","disamb fp",0,197,"Ambiguous","Consistent"
"100","Native 3",39,"disamb","fp",1,321,"Native","disamb fp",0,321,"Ambiguous","Consistent"
"101","Native 3",33,"disamb","fp",3,1003,"Native","disamb fp",0,1003,"Ambiguous","Inconsistent"
"103","Native 3",31,"disamb","fp",1,547,"Native","disamb fp",0,547,"Ambiguous","Consistent"
"104","Native 3",29,"disamb","fp",3,453,"Native","disamb fp",0,453,"Ambiguous","Inconsistent"
"105","Native 3",44,"disamb","fp",2,246,"Native","disamb fp",0,246,"Unambiguous","Consistent"
"110","Native 3",27,"disamb","fp",1,315,"Native","disamb fp",0,315,"Ambiguous","Consistent"
"113","Native 3",45,"disamb","fp",3,304,"Native","disamb fp",0,304,"Ambiguous","Inconsistent"
"114","Native 3",37,"disamb","fp",3,182,"Native","disamb fp",0,182,"Ambiguous","Inconsistent"
"115","Native 3",36,"disamb","fp",2,396,"Native","disamb fp",0,396,"Unambiguous","Consistent"
"116","Native 3",32,"disamb","fp",2,244,"Native","disamb fp",0,244,"Unambiguous","Consistent"
"117","Native 3",25,"disamb","fp",3,258,"Native","disamb fp",0,258,"Ambiguous","Inconsistent"
"118","Native 3",26,"disamb","fp",4,189,"Native","disamb fp",0,189,"Unambiguous","Inconsistent"
"119","Native 3",30,"disamb","fp",4,427,"Native","disamb fp",0,427,"Unambiguous","Inconsistent"
"120","Native 3",28,"disamb","fp",2,707,"Native","disamb fp",0,707,"Unambiguous","Consistent"
"124","Native 3",47,"disamb","fp",1,347,"Native","disamb fp",0,347,"Ambiguous","Consistent"
"130","Native 3",48,"disamb","fp",2,256,"Native","disamb fp",0,256,"Unambiguous","Consistent"
"132","Native 3",34,"disamb","fp",4,247,"Native","disamb fp",0,247,"Unambiguous","Inconsistent"
"133","Native 3",38,"disamb","fp",4,325,"Native","disamb fp",0,325,"Unambiguous","Inconsistent"
"134","Native 3",42,"disamb","fp",4,250,"Native","disamb fp",0,250,"Unambiguous","Inconsistent"
"135","Native 3",35,"disamb","fp",1,430,"Native","disamb fp",0,430,"Ambiguous","Consistent"
"139","Native 3",40,"disamb","fp",2,260,"Native","disamb fp",0,260,"Unambiguous","Consistent"
"142","Native 3",41,"disamb","fp",3,0,"Native","disamb fp",1,NA,"Ambiguous","Inconsistent"
"147","Native 4",39,"disamb","fp",2,472,"Native","disamb fp",0,472,"Unambiguous","Consistent"
"148","Native 4",27,"disamb","fp",2,442,"Native","disamb fp",0,442,"Unambiguous","Consistent"
"151","Native 4",40,"disamb","fp",3,292,"Native","disamb fp",0,292,"Ambiguous","Inconsistent"
"152","Native 4",38,"disamb","fp",1,464,"Native","disamb fp",0,464,"Ambiguous","Consistent"
"154","Native 4",37,"disamb","fp",4,780,"Native","disamb fp",0,780,"Unambiguous","Inconsistent"
"157","Native 4",26,"disamb","fp",1,504,"Native","disamb fp",0,504,"Ambiguous","Consistent"
"160","Native 4",33,"disamb","fp",4,330,"Native","disamb fp",0,330,"Unambiguous","Inconsistent"
"161","Native 4",47,"disamb","fp",2,308,"Native","disamb fp",0,308,"Unambiguous","Consistent"
"164","Native 4",45,"disamb","fp",4,482,"Native","disamb fp",0,482,"Unambiguous","Inconsistent"
"165","Native 4",36,"disamb","fp",3,922,"Native","disamb fp",0,922,"Ambiguous","Inconsistent"
"166","Native 4",46,"disamb","fp",1,189,"Native","disamb fp",0,189,"Ambiguous","Consistent"
"169","Native 4",35,"disamb","fp",2,597,"Native","disamb fp",0,597,"Unambiguous","Consistent"
"170","Native 4",48,"disamb","fp",3,396,"Native","disamb fp",0,396,"Ambiguous","Inconsistent"
"171","Native 4",41,"disamb","fp",4,542,"Native","disamb fp",0,542,"Unambiguous","Inconsistent"
"172","Native 4",30,"disamb","fp",1,273,"Native","disamb fp",0,273,"Ambiguous","Consistent"
"173","Native 4",42,"disamb","fp",1,0,"Native","disamb fp",1,NA,"Ambiguous","Consistent"
"174","Native 4",44,"disamb","fp",3,172,"Native","disamb fp",0,172,"Ambiguous","Inconsistent"
"175","Native 4",43,"disamb","fp",2,1221,"Native","disamb fp",0,1221,"Unambiguous","Consistent"
"176","Native 4",31,"disamb","fp",2,937,"Native","disamb fp",0,937,"Unambiguous","Consistent"
"179","Native 4",32,"disamb","fp",3,180,"Native","disamb fp",0,180,"Ambiguous","Inconsistent"
"182","Native 4",25,"disamb","fp",4,307,"Native","disamb fp",0,307,"Unambiguous","Inconsistent"
"183","Native 4",34,"disamb","fp",1,190,"Native","disamb fp",0,190,"Ambiguous","Consistent"
