"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"26867","Native 1",6,"spillover","tt",2,462,"Native","spillover tt",0,462,"Unambiguous","Consistent"
"26870","Native 1",1,"spillover","tt",1,284,"Native","spillover tt",0,284,"Ambiguous","Consistent"
"26871","Native 1",16,"spillover","tt",4,389,"Native","spillover tt",0,389,"Unambiguous","Inconsistent"
"26873","Native 1",13,"spillover","tt",1,656,"Native","spillover tt",0,656,"Ambiguous","Consistent"
"26874","Native 1",3,"spillover","tt",3,1439,"Native","spillover tt",0,1439,"Ambiguous","Inconsistent"
"26876","Native 1",10,"spillover","tt",2,269,"Native","spillover tt",0,269,"Unambiguous","Consistent"
"26878","Native 1",7,"spillover","tt",3,710,"Native","spillover tt",0,710,"Ambiguous","Inconsistent"
"26880","Native 1",20,"spillover","tt",4,833,"Native","spillover tt",0,833,"Unambiguous","Inconsistent"
"26881","Native 1",4,"spillover","tt",4,553,"Native","spillover tt",0,553,"Unambiguous","Inconsistent"
"26882","Native 1",8,"spillover","tt",4,1164,"Native","spillover tt",0,1164,"Unambiguous","Inconsistent"
"26884","Native 1",15,"spillover","tt",3,1106,"Native","spillover tt",0,1106,"Ambiguous","Inconsistent"
"26886","Native 1",22,"spillover","tt",2,388,"Native","spillover tt",0,388,"Unambiguous","Consistent"
"26888","Native 1",19,"spillover","tt",3,558,"Native","spillover tt",0,558,"Ambiguous","Inconsistent"
"26891","Native 1",12,"spillover","tt",4,396,"Native","spillover tt",0,396,"Unambiguous","Inconsistent"
"26894","Native 1",23,"spillover","tt",3,706,"Native","spillover tt",0,706,"Ambiguous","Inconsistent"
"26896","Native 1",17,"spillover","tt",1,367,"Native","spillover tt",0,367,"Ambiguous","Consistent"
"26897","Native 1",21,"spillover","tt",1,252,"Native","spillover tt",0,252,"Ambiguous","Consistent"
"26901","Native 1",24,"spillover","tt",4,794,"Native","spillover tt",0,794,"Unambiguous","Inconsistent"
"26903","Native 1",14,"spillover","tt",2,377,"Native","spillover tt",0,377,"Unambiguous","Consistent"
"26904","Native 1",11,"spillover","tt",3,1083,"Native","spillover tt",0,1083,"Ambiguous","Inconsistent"
"26905","Native 1",9,"spillover","tt",1,1256,"Native","spillover tt",0,1256,"Ambiguous","Consistent"
"26909","Native 1",5,"spillover","tt",1,1041,"Native","spillover tt",0,1041,"Ambiguous","Consistent"
"26910","Native 1",2,"spillover","tt",2,380,"Native","spillover tt",0,380,"Unambiguous","Consistent"
