"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"19191","Native 1",6,"disamb","tt",2,530,"Native","disamb tt",0,530,"Unambiguous","Consistent"
"19194","Native 1",1,"disamb","tt",1,1038,"Native","disamb tt",0,1038,"Ambiguous","Consistent"
"19195","Native 1",16,"disamb","tt",4,600,"Native","disamb tt",0,600,"Unambiguous","Inconsistent"
"19197","Native 1",13,"disamb","tt",1,1281,"Native","disamb tt",0,1281,"Ambiguous","Consistent"
"19198","Native 1",3,"disamb","tt",3,622,"Native","disamb tt",0,622,"Ambiguous","Inconsistent"
"19200","Native 1",10,"disamb","tt",2,211,"Native","disamb tt",0,211,"Unambiguous","Consistent"
"19202","Native 1",7,"disamb","tt",3,638,"Native","disamb tt",0,638,"Ambiguous","Inconsistent"
"19204","Native 1",20,"disamb","tt",4,231,"Native","disamb tt",0,231,"Unambiguous","Inconsistent"
"19205","Native 1",4,"disamb","tt",4,254,"Native","disamb tt",0,254,"Unambiguous","Inconsistent"
"19206","Native 1",8,"disamb","tt",4,1131,"Native","disamb tt",0,1131,"Unambiguous","Inconsistent"
"19208","Native 1",15,"disamb","tt",3,1056,"Native","disamb tt",0,1056,"Ambiguous","Inconsistent"
"19210","Native 1",22,"disamb","tt",2,388,"Native","disamb tt",0,388,"Unambiguous","Consistent"
"19212","Native 1",19,"disamb","tt",3,1125,"Native","disamb tt",0,1125,"Ambiguous","Inconsistent"
"19215","Native 1",12,"disamb","tt",4,177,"Native","disamb tt",0,177,"Unambiguous","Inconsistent"
"19218","Native 1",23,"disamb","tt",3,1095,"Native","disamb tt",0,1095,"Ambiguous","Inconsistent"
"19220","Native 1",17,"disamb","tt",1,360,"Native","disamb tt",0,360,"Ambiguous","Consistent"
"19221","Native 1",21,"disamb","tt",1,1199,"Native","disamb tt",0,1199,"Ambiguous","Consistent"
"19225","Native 1",24,"disamb","tt",4,398,"Native","disamb tt",0,398,"Unambiguous","Inconsistent"
"19227","Native 1",14,"disamb","tt",2,673,"Native","disamb tt",0,673,"Unambiguous","Consistent"
"19228","Native 1",11,"disamb","tt",3,899,"Native","disamb tt",0,899,"Ambiguous","Inconsistent"
"19229","Native 1",9,"disamb","tt",1,444,"Native","disamb tt",0,444,"Ambiguous","Consistent"
"19233","Native 1",5,"disamb","tt",1,347,"Native","disamb tt",0,347,"Ambiguous","Consistent"
"19234","Native 1",2,"disamb","tt",2,775,"Native","disamb tt",0,775,"Unambiguous","Consistent"
"19237","Native 1",18,"disamb","tt",2,350,"Native","disamb tt",0,350,"Unambiguous","Consistent"
"19242","Native 2",20,"disamb","tt",1,740,"Native","disamb tt",0,740,"Ambiguous","Consistent"
"19243","Native 2",5,"disamb","tt",2,843,"Native","disamb tt",0,843,"Unambiguous","Consistent"
